This file was created using the 202601 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199504   ,1.02  ,-0.31   ,0.62   ,0.61   ,0.27   ,1.33   ,1.93   ,2.05   ,2.01   ,1.44   ,2.39   ,1.03   ,2.17   ,2.65   ,2.53   ,1.52   ,1.96   ,2.88   ,4.67   ,4.62   ,2.29   ,3.80   ,2.57   ,3.23   ,4.99
199505   ,3.66   ,1.88   ,1.45   ,2.28   ,1.61   ,1.50   ,2.58   ,1.84   ,1.59   ,1.51   ,1.59   ,2.52   ,2.62   ,1.63   ,3.56   ,2.61   ,1.94   ,2.11   ,2.79   ,1.77   ,1.93   ,2.15   ,1.54   ,3.12   ,3.77
199506  ,-0.56   ,1.26   ,2.46   ,1.76   ,3.11   ,0.94   ,2.45   ,2.76   ,1.46   ,1.56   ,1.73   ,1.12   ,0.48   ,0.84   ,1.25   ,3.18   ,2.26   ,1.58   ,1.76   ,1.21   ,3.68   ,1.21   ,0.62   ,0.60   ,1.20
199507   ,4.35   ,3.32   ,2.95   ,2.47   ,1.92   ,4.24   ,4.05   ,2.04   ,2.85   ,2.46   ,4.41   ,3.33   ,4.27   ,2.92   ,2.26   ,3.56   ,1.82   ,3.46   ,4.17   ,3.54   ,4.41   ,5.40   ,4.75   ,5.42   ,3.52
199508  ,-0.92  ,-2.14  ,-3.27  ,-2.52  ,-2.89  ,-0.87  ,-3.02  ,-1.77  ,-2.17  ,-3.17  ,-1.59  ,-2.64  ,-4.12  ,-3.93  ,-4.26  ,-3.70  ,-3.22  ,-4.73  ,-5.59  ,-4.72  ,-1.71  ,-2.93  ,-3.63  ,-4.64  ,-6.29
199509   ,3.36   ,4.47   ,2.95   ,1.32   ,2.10   ,2.58   ,0.64   ,1.22   ,1.80   ,0.67   ,4.63   ,2.92   ,2.94   ,1.64   ,2.27   ,2.87   ,1.65   ,1.18   ,0.40   ,0.47   ,4.07   ,3.20   ,2.30   ,2.81   ,2.48
199510   ,1.36   ,1.19  ,-0.37  ,-0.67  ,-1.02  ,-1.50  ,-1.79  ,-2.48  ,-1.64  ,-1.26  ,-1.17  ,-3.02  ,-2.61  ,-2.44  ,-1.87  ,-1.72  ,-1.41  ,-1.54  ,-2.09  ,-3.33  ,-0.08  ,-0.41   ,0.32  ,-0.87   ,1.37
199511  ,-2.31  ,-3.31  ,-2.69  ,-1.94  ,-1.97  ,-3.51  ,-2.97  ,-4.01  ,-3.99  ,-2.64  ,-1.69  ,-1.11  ,-3.99  ,-2.71  ,-2.32  ,-1.44  ,-1.98  ,-2.08  ,-0.58  ,-1.33   ,0.10   ,0.66   ,1.33   ,0.21   ,1.56
199512   ,1.84  ,-0.13   ,1.91   ,0.61   ,1.26   ,1.21   ,0.25   ,0.97   ,3.83   ,1.76   ,1.34   ,3.16   ,1.72   ,1.48   ,0.70   ,2.16   ,2.68   ,1.99   ,2.63   ,3.35   ,1.12   ,1.49   ,3.17   ,3.32   ,3.19
199601  ,-0.27  ,-0.17  ,-0.07   ,1.84   ,0.30  ,-0.69   ,1.89  ,-0.31   ,1.69   ,1.00   ,0.21   ,3.36   ,0.11   ,2.48   ,0.44  ,-0.37   ,0.63   ,1.83   ,1.11   ,1.48   ,0.06   ,2.28   ,0.99   ,1.07  ,-0.27
